goos: darwin
goarch: arm64
pkg: github.com/eluv-io/common-go/format/structured
cpu: Apple M4 Max
BenchmarkClone_NamedSliceByte-14            	  610969	      1920 ns/op	   27336 B/op	       4 allocs/op
BenchmarkClone_NamedSliceByte-14            	  630291	      1980 ns/op	   27336 B/op	       4 allocs/op
BenchmarkClone_NamedSliceByte-14            	  594712	      1932 ns/op	   27336 B/op	       4 allocs/op
BenchmarkClone_NamedSliceByte-14            	  649302	      1920 ns/op	   27336 B/op	       4 allocs/op
BenchmarkCloneSlice_NamedSliceByte-14       	  611490	      1857 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_NamedSliceByte-14       	  650312	      1933 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_NamedSliceByte-14       	  609843	      1936 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_NamedSliceByte-14       	  612532	      1899 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_NamedSliceByte-14       	  672602	      1897 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_NamedSliceByte-14       	  674587	      1864 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_NamedSliceByte-14       	  612013	      1825 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_NamedSliceByte-14       	  677958	      1909 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_NamedSliceByte-14       	  645457	      1858 ns/op	   27288 B/op	       2 allocs/op
BenchmarkCloneSlice_NamedSliceByte-14       	  659772	      1928 ns/op	   27288 B/op	       2 allocs/op
BenchmarkClone_MapCustom-14                 	 3699517	       317.3 ns/op	     480 B/op	      11 allocs/op
BenchmarkClone_MapCustom-14                 	 3828584	       316.9 ns/op	     480 B/op	      11 allocs/op
BenchmarkClone_MapCustom-14                 	 3821894	       317.5 ns/op	     480 B/op	      11 allocs/op
BenchmarkClone_MapCustom-14                 	 3763562	       315.3 ns/op	     480 B/op	      11 allocs/op
BenchmarkClone_MapCustom-14                 	 3824289	       313.5 ns/op	     480 B/op	      11 allocs/op
BenchmarkClone_MapCustom-14                 	 3784450	       313.9 ns/op	     480 B/op	      11 allocs/op
BenchmarkClone_MapCustom-14                 	 3770283	       314.8 ns/op	     480 B/op	      11 allocs/op
BenchmarkClone_MapCustom-14                 	 3808861	       312.1 ns/op	     480 B/op	      11 allocs/op
BenchmarkClone_MapCustom-14                 	 3821620	       313.2 ns/op	     480 B/op	      11 allocs/op
BenchmarkClone_MapCustom-14                 	 3845323	       314.9 ns/op	     480 B/op	      11 allocs/op
BenchmarkCloneMap_MapCustom-14              	 9520752	       126.3 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapCustom-14              	 9645565	       125.5 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapCustom-14              	 9579766	       128.3 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapCustom-14              	 9333844	       127.2 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapCustom-14              	 9694044	       125.8 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapCustom-14              	 9528283	       125.9 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapCustom-14              	 9541329	       125.3 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapCustom-14              	 9610068	       125.7 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapCustom-14              	 9458419	       126.7 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapCustom-14              	 9508815	       126.6 ns/op	     336 B/op	       2 allocs/op
PASS
ok  	github.com/eluv-io/common-go/format/structured	255.783s
